SAMPLE_No,Na,Mg,Al,Si,P,Ca,Ti,Fe,Ba,K,CaO.1,TiO2.1,Mn,Fe2O3.1,Sc,V,Cr,Co,Ni,Cu,Zn,Ga,Ge,As,Se,Br,Rb,Sr,Y,Zr,Nb,Mo,Nd,Sm,Yb,Hf,W,Pb,Bi,Th,U,Sn,Sb,I,Cs,Ba.1,La,Ce
632198,,7236.76275479436,104789.626885419,243081.525804039,1090.94082736952,4788.45054316752,5761.04550086925,44554.8017066518,700,23991.36642869,3600,9510,1700,73100,15.4,127.2,192.4,30.5,84.9,25.6,144.7,18.8,1.1,11.5,0.5,65.1,96.7,73.4,25.6,401.1,13.6,0.6,35.4,6.2,3.4,10.3,0.9,29,,8.7,2.7,6.3,0.2,6.6,6,613,57,101
632199,8902.07715133531,28343.9874562779,87853.9296110082,298242.333582648,610.926863326933,2787.30703259005,5785.0248786044,49940.5469678954,700,17848.2483812054,3900,9150,2220,70500,14.7,123.7,129,31.5,70.8,32.8,143.4,15.4,0.9,10.9,0.6,40.2,71.7,84.6,24.3,352.2,13.6,2,27.5,,2.1,8.4,0.8,32,,8.5,3.5,4.4,0.3,7,4,573,38,72
632200,8902.07715133531,15679.6526353878,73035.1944958984,295905.011219147,698.202129516495,2858.7764436821,5401.35483484204,46373.3650416171,600,21002.8225136975,6800,8490,1670,75700,18.8,148.5,202.7,30.4,86,37.7,121.9,16.9,0.6,13.4,0.3,36.8,82.9,121.2,22.1,277,11.3,1.1,27.9,5.2,1.5,8.1,1.9,30.1,,7.8,2.7,1.8,0.3,6.5,3,477,35,65
700008,17804.1543026706,13267.3983837897,74622.9161153744,256170.531039641,4058.29987781463,6718.12464265294,6060.7877225586,48541.6520948451,562,13780.5080524656,,,890,,14,113,259,20,52,90,387,17,,12,,92,57,168,23,247,16,,33,5,,6,1,163,,7,2,12,,,,,40,72
700009,17804.1543026706,15679.6526353878,82032.2836729294,225317.875841436,5236.51597137371,8576.32933104631,6672.26185480487,57004.9660767993,657,15855.8857712104,,,1070,,15,129,447,20,60,145,566,19,,19,,118,66,198,26,226,17,,37,5,,5,2,224,,8,3,21,,,,,47,78
700010,16320.4747774481,14473.5255095887,75681.3971950251,255235.602094241,4669.22674114156,9076.61520869068,6186.67945566813,50360.2154298105,573,14776.6893574631,,,980,,14,114,329,18,52,115,412,16,,16,,104,61,178,24,248,16,,35,6,,5,2,171,,7,3,17,,,,,39,74
700011,8902.07715133531,5427.57206609577,28049.7486107436,402019.446522064,829.115028800838,3502.00114351058,2320.00479587555,19584.5282227041,301,5894.07272123527,,,340,,4,42,86,6,21,34,106,5,,6,,14,20,74,10,172,7,,11,3,,4,1,127,,2,,3,,,,,13,26
700012,23738.8724035608,14473.5255095887,72505.953956073,235602.094240838,4058.29987781463,8361.92109777016,6084.76710029375,49730.7127369378,502,13199.402291217,,,820,,13,119,276,17,50,101,337,15,,16,,159,51,182,22,209,18,,31,4,,5,2,150,,6,2,17,,,,,37,65
700017,17062.3145400593,15076.5890724882,80973.8025932786,233264.771877337,5061.96543899459,8647.79874213837,6822.13296564954,57844.3030006295,713,15523.8253362112,,,1110,,15,133,623,23,68,201,709,18,,21,,113,65,190,26,283,19,,38,7,,6,4,321,,8,2,30,,,,,44,81
700019,37091.9881305638,16282.7161982873,77269.1188145012,189323.11144353,3098.27194972945,8004.57404230989,6096.75678916132,57774.358256977,576,15191.764901212,,,1020,,16,127,290,21,61,100,397,19,,12,,197,65,206,24,168,16,,37,6,,3,,171,,9,4,12,,,,,41,75
700020,8902.07715133531,12664.3348208901,83620.0052924054,229992.520568437,3883.7493454355,8076.04345340194,6828.12781008333,55885.8501783591,752,15274.7800099618,,,1890,,18,138,258,23,65,85,385,18,,11,,59,65,153,27,232,17,,40,6,,5,2,154,,8,2,9,,,,,45,87
700021,7418.39762611276,6633.69919189483,38634.5594072506,391267.763649963,785.477395706057,4716.98113207547,2823.57172831365,33573.476953207,294,7222.31446123195,,,640,,7,62,126,11,33,28,198,7,,4,,2,25,92,13,119,9,,17,3,,3,,60,,3,2,8,,,,,16,33
700022,24480.7121661721,12664.3348208901,75152.1566551998,224850.411368736,3098.27194972945,7718.69639794168,6144.71554463162,47282.6467090998,696,14112.5684874647,,,1860,,15,117,194,21,58,62,303,16,,9,,103,57,139,24,243,16,,34,6,,5,2,123,,7,3,9,,,,,37,72
